Currency,Date,ClosingPrice,24hOpen,24hHigh,24hLow
TRX,5/31/2018,0.060368222,0.060926423,0.06156842,0.05990528
TRX,6/1/2018,0.05879612,0.060562463,0.061878684,0.056008989
TRX,6/2/2018,0.061041496,0.058513867,0.063472645,0.057498777
TRX,6/3/2018,0.062125638,0.061121437,0.063587103,0.060351031
TRX,6/4/2018,0.059559295,0.062113535,0.062562717,0.05784783
TRX,6/5/2018,0.060614255,0.059559295,0.061183,0.056865323
TRX,6/6/2018,0.059119683,0.060316452,0.060713052,0.05792756
TRX,6/7/2018,0.05862892,0.059047575,0.06029556,0.058103872
TRX,6/8/2018,0.057440549,0.058559167,0.058766841,0.05642366
TRX,6/9/2018,0.056853654,0.057440549,0.059458,0.056837264
TRX,6/10/2018,0.047189061,0.056853654,0.056897752,0.0448899
TRX,6/11/2018,0.048122818,0.045599484,0.048197886,0.04515458
TRX,6/12/2018,0.043047195,0.048523065,0.048859577,0.043020633
TRX,6/13/2018,0.041861891,0.043046608,0.044327631,0.038255731
TRX,6/14/2018,0.044900636,0.041078964,0.045807196,0.040132266
TRX,6/15/2018,0.042188125,0.04522185,0.046050119,0.042115456
TRX,6/16/2018,0.043582354,0.042188158,0.043611111,0.041348341
TRX,6/17/2018,0.042755044,0.043043745,0.043568206,0.042365849
TRX,6/18/2018,0.045096042,0.042423551,0.045593609,0.041202031
TRX,6/19/2018,0.048576934,0.045141588,0.051664288,0.044576444
TRX,6/20/2018,0.048129482,0.04952097,0.049521413,0.044407752
TRX,6/21/2018,0.048572179,0.04870896,0.049956845,0.046972665
TRX,6/22/2018,0.043361359,0.048556033,0.048846873,0.041509581
TRX,6/23/2018,0.044289656,0.042964115,0.044962007,0.042118884
TRX,6/24/2018,0.042002485,0.044323514,0.044346927,0.038231314
TRX,6/25/2018,0.041975591,0.04197458,0.042976849,0.040980822
TRX,6/26/2018,0.038961652,0.042235839,0.042449624,0.038781291
TRX,6/27/2018,0.039124978,0.039212224,0.04002962,0.037497773
TRX,6/28/2018,0.037146121,0.039152667,0.039781758,0.036864191
TRX,6/29/2018,0.037350126,0.037265665,0.037388133,0.034287868
TRX,6/30/2018,0.038098106,0.037341556,0.040314901,0.036585643
TRX,7/1/2018,0.037895588,0.038019518,0.038773145,0.036705978
TRX,7/2/2018,0.040051513,0.037878689,0.040546847,0.036771784
TRX,7/3/2018,0.038901066,0.039804509,0.041122861,0.038464392
TRX,7/4/2018,0.039237005,0.03880348,0.040252245,0.037352781
TRX,7/5/2018,0.037612806,0.039237762,0.03997226,0.037099983
TRX,7/6/2018,0.035753193,0.037041827,0.038092074,0.034317999
TRX,7/7/2018,0.036562444,0.0368239,0.03735529,0.03602515
TRX,7/8/2018,0.037689308,0.036562041,0.038492913,0.036386523
TRX,7/9/2018,0.036108756,0.037689308,0.037705597,0.036033429
TRX,7/10/2018,0.034666039,0.0361087,0.036420289,0.032892978
TRX,7/11/2018,0.033456255,0.033533433,0.034838637,0.032784359
TRX,7/12/2018,0.031639885,0.033452995,0.033728838,0.031491976
TRX,7/13/2018,0.033249715,0.032409889,0.034666981,0.032263437
TRX,7/14/2018,0.033401134,0.033649452,0.03392034,0.032499415
TRX,7/15/2018,0.034593532,0.033402809,0.035119566,0.033136289
TRX,7/16/2018,0.036862252,0.034466649,0.037255083,0.034085763
TRX,7/17/2018,0.039868243,0.036862338,0.040647779,0.035967469
TRX,7/18/2018,0.039786271,0.039869507,0.043264436,0.038945312
TRX,7/19/2018,0.037969158,0.039786115,0.039884182,0.037330272
TRX,7/20/2018,0.035116719,0.037969268,0.038195293,0.034540811
TRX,7/21/2018,0.035921584,0.035096083,0.036413146,0.033782782
TRX,7/22/2018,0.035282042,0.035969118,0.036517803,0.034970164
TRX,7/23/2018,0.034261768,0.035132177,0.036312834,0.034137685
TRX,7/24/2018,0.038775669,0.03426336,0.039089183,0.032948175
TRX,7/25/2018,0.037666143,0.038803606,0.039234919,0.036171358
TRX,7/26/2018,0.03585309,0.037713574,0.038677782,0.035771893
TRX,7/27/2018,0.037024723,0.035868804,0.037172221,0.035138575
TRX,7/28/2018,0.036801697,0.036477636,0.036930634,0.035798459
TRX,7/29/2018,0.03998568,0.036802453,0.040786503,0.036698881
TRX,7/30/2018,0.036351808,0.039138373,0.039448201,0.035197826
TRX,7/31/2018,0.033834891,0.036351762,0.036574886,0.033486353
TRX,8/1/2018,0.032589246,0.033794404,0.034053688,0.031604803
TRX,8/2/2018,0.031600926,0.032589425,0.033342772,0.030831883
TRX,8/3/2018,0.030647628,0.031447016,0.031710347,0.02945885
TRX,8/4/2018,0.028999317,0.030645294,0.031234739,0.028554191
